Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
12/22/17,12:20:34,25.69,28.19,25.13,26.06,155,243,80,59,0.83,0.17,0.06,0.12,635,1.226923077,motion detected,no motion detected,2 persons
1/11/18,0:07:37,25.19,25.25,24.88,25.31,0,0,0,0,0.07,NA,0.06,0.08,345,0,no motion detected,no motion detected,empty room
12/25/17,9:35:41,25.06,25.06,24.56,25.5,8,8,40,27,0.07,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:07:40,25.75,26.13,25.63,25.81,7,7,29,26,0.08,0.16,NA,0.09,475,2.896153846,no motion detected,motion detected,3 persons
12/22/17,10:56:19,25.06,24.81,24.63,25.56,NA,35,57,44,1.66,0.21,0.12,0.09,390,-0.542307692,motion detected,no motion detected,1 person
12/22/17,11:54:32,25.56,25.69,NA,25.88,155,233,74,56,0.31,NA,0.27,0.06,560,2.75,motion detected,no motion detected,1 person
12/26/17,0:17:59,25.38,25.38,NA,25.88,0,0,0,0,0.07,0.06,NA,0.09,NA,0,no motion detected,no motion detected,empty room
12/24/17,1:17:31,25.38,25.38,24.88,25.75,0,0,0,0,0.07,NA,0.06,0.06,365,0,no motion detected,no motion detected,empty room
1/11/18,0:47:57,25.25,25.25,24.81,25.31,0,0,0,0,0.07,NA,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/26/17,1:22:19,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
12/25/17,10:01:44,NA,25.06,24.69,25.5,9,10,45,31,0.08,NA,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:02:58,25.13,24.88,24.69,25.5,NA,35,59,44,0.21,0.19,0.17,0.07,405,0.480769231,motion detected,no motion detected,1 person
12/26/17,1:09:33,25.38,25.38,24.88,25.81,0,0,0,0,0.08,0.05,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
1/11/18,1:17:03,25.19,25.25,24.81,25.31,0,0,0,0,0.07,NA,0.05,NA,345,0,no motion detected,no motion detected,empty room
12/26/17,0:31:15,25.38,25.38,NA,25.81,0,0,0,0,0.07,0.05,NA,NA,NA,0,no motion detected,no motion detected,empty room
12/26/17,0:28:42,25.38,25.38,24.94,25.81,0,0,0,0,0.07,0.05,NA,0.11,NA,0,no motion detected,no motion detected,empty room
12/24/17,0:53:00,25.44,25.38,24.94,NA,0,0,0,0,0.08,0.06,0.06,0.06,370,-0.042307692,no motion detected,no motion detected,empty room
12/24/17,0:02:58,25.44,25.44,NA,25.56,0,0,0,0,0.07,0.05,NA,0.06,370,-0.119230769,no motion detected,no motion detected,empty room
12/24/17,0:02:28,25.44,25.44,NA,25.56,0,0,0,0,0.07,0.05,0.05,0.06,370,-0.153846154,no motion detected,no motion detected,empty room
12/24/17,0:46:53,25.44,25.44,24.94,NA,0,0,0,0,0.08,NA,0.06,0.06,370,-0.023076923,no motion detected,no motion detected,empty room
12/24/17,0:45:21,25.44,25.44,24.94,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,-0.011538462,no motion detected,no motion detected,empty room
12/24/17,0:59:39,25.38,25.44,24.94,NA,0,0,0,0,0.07,0.05,0.06,0.05,365,-0.038461538,no motion detected,no motion detected,empty room
12/22/17,12:23:38,25.69,28.13,25.13,26,157,NA,82,63,0.8,0.37,0.14,0.18,650,1.026923077,no motion detected,no motion detected,2 persons
1/11/18,0:10:10,25.25,25.31,24.88,25.38,0,0,0,0,0.08,NA,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/22/17,11:08:35,25.19,24.94,24.69,25.56,NA,35,58,44,0.07,0.05,0.05,0.06,415,0.961538462,no motion detected,no motion detected,1 person
12/22/17,11:18:17,25.25,24.94,24.81,25.63,NA,35,59,45,0.68,0.12,0.11,NA,430,0.842307692,no motion detected,no motion detected,1 person
12/22/17,11:52:29,25.56,25.69,NA,25.81,155,233,74,57,0.68,0.82,0.19,0.12,555,3.165384615,motion detected,no motion detected,2 persons
1/11/18,0:23:57,25.25,25.25,24.81,25.38,0,0,0,0,0.07,NA,0.06,NA,345,0,no motion detected,no motion detected,empty room
1/11/18,0:33:39,25.19,25.25,24.81,25.31,0,0,0,0,0.06,0.05,0.05,0.09,345,0,no motion detected,no motion detected,empty room
1/11/18,0:16:48,25.25,25.31,24.81,25.38,0,0,0,0,0.06,NA,0.05,0.08,345,0,no motion detected,no motion detected,empty room
12/26/17,0:15:26,25.38,25.38,24.94,25.88,0,0,0,0,0.07,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/24/17,0:55:03,25.44,25.44,24.94,NA,0,0,0,0,0.07,0.05,0.06,0.06,365,-0.161538462,no motion detected,no motion detected,empty room
1/11/18,0:17:50,25.19,25.25,24.81,25.31,0,0,0,0,0.07,NA,0.05,0.08,345,0,no motion detected,no motion detected,empty room
1/10/18,16:44:26,25.81,26.06,25.75,25.88,4,4,29,14,0.13,0.07,NA,0.08,690,2.884615385,motion detected,motion detected,3 persons
1/10/18,17:01:47,25.88,26.13,25.75,25.94,142,232,183,25,NA,0.27,0.1,0.09,780,1.665384615,motion detected,motion detected,3 persons
12/23/17,0:51:07,25.31,25.38,24.94,NA,0,0,0,0,0.07,0.05,0.06,0.06,375,0,no motion detected,no motion detected,empty room
12/26/17,0:54:45,25.38,25.38,24.94,25.81,0,0,0,0,0.07,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/26/17,0:01:39,25.38,25.38,NA,25.88,0,0,0,0,0.08,0.05,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/26/17,0:52:11,25.38,25.38,24.94,25.88,0,0,0,0,0.08,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
12/23/17,1:23:17,25.38,25.38,24.88,25.75,0,0,0,0,0.07,NA,0.06,0.05,370,0,no motion detected,no motion detected,empty room
12/26/17,1:42:14,25.31,25.38,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:14:12,25.25,24.94,24.75,25.63,124,36,61,46,0.16,0.06,0.05,0.06,435,1.269230769,no motion detected,no motion detected,1 person
12/22/17,12:12:55,25.63,27.63,25.13,26,156,NA,78,60,0.54,0.8,0.3,0.14,630,1.419230769,motion detected,no motion detected,2 persons
12/24/17,0:30:02,25.44,25.44,24.94,25.63,0,0,0,0,0.06,0.06,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/24/17,0:36:40,25.44,25.44,24.94,25.81,0,0,0,0,0.07,0.12,NA,0.06,370,-0.030769231,no motion detected,no motion detected,empty room
12/22/17,11:10:37,25.19,24.94,24.69,25.63,NA,35,59,45,0.08,0.26,0.21,0.07,420,1.215384615,no motion detected,no motion detected,1 person
1/10/18,15:30:54,25.5,25.88,25.38,25.63,10,13,56,NA,0.46,0.67,0.23,NA,370,1.184615385,no motion detected,motion detected,3 persons
1/11/18,1:35:57,25.19,25.19,24.75,25.25,0,0,0,0,0.07,0.05,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/24/17,0:13:42,25.44,25.44,24.94,NA,0,0,0,0,0.07,NA,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/26/17,0:44:01,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.06,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/23/17,1:21:15,25.31,25.31,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/24/17,0:35:39,25.44,25.44,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,-0.038461538,no motion detected,no motion detected,empty room
1/11/18,0:52:02,25.19,25.25,24.81,25.31,0,0,0,0,0.07,NA,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/25/17,10:53:49,25.19,25.13,24.81,25.75,11,12,51,NA,0.08,0.05,NA,0.09,NA,0,no motion detected,no motion detected,empty room
12/23/17,0:17:25,25.38,25.38,NA,25.88,0,0,0,0,0.06,0.05,NA,0.06,375,-0.288461538,no motion detected,no motion detected,empty room
12/23/17,1:25:50,25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/22/17,12:04:14,25.56,27.69,25.06,26.06,157,NA,77,59,0.15,0.12,0.06,0.08,595,2.223076923,no motion detected,no motion detected,2 persons
12/24/17,1:21:05,25.38,25.38,24.88,25.75,0,0,0,0,0.06,NA,0.06,0.07,365,0,no motion detected,no motion detected,empty room
12/22/17,12:25:40,25.69,28.5,25.19,26.06,156,NA,80,61,0.25,0.23,0.24,0.06,645,0.869230769,no motion detected,no motion detected,2 persons
12/26/17,1:38:09,25.31,25.38,24.94,25.81,0,0,0,0,0.08,0.05,NA,0.09,NA,0,no motion detected,no motion detected,empty room
1/11/18,0:45:55,25.25,25.31,24.81,25.31,0,0,0,0,0.07,NA,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/23/17,0:07:43,25.38,25.44,NA,25.75,0,0,0,0,0.07,0.05,0.06,0.06,380,0,no motion detected,no motion detected,empty room
12/23/17,0:12:50,25.38,25.44,24.94,25.75,0,0,0,0,0.07,0.05,0.05,0.07,375,-0.046153846,no motion detected,no motion detected,empty room
12/23/17,1:01:20,25.31,25.38,24.88,25.75,0,0,0,0,0.07,0.05,NA,0.05,370,-0.238461538,no motion detected,no motion detected,empty room
1/11/18,0:50:00,25.19,25.25,24.81,25.31,0,0,0,0,0.07,NA,0.05,0.08,345,0,no motion detected,no motion detected,empty room
12/26/17,1:26:55,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
1/11/18,1:28:17,25.19,25.25,24.75,25.25,0,0,0,0,0.07,0.05,0.05,0.08,345,0,no motion detected,no motion detected,empty room
1/10/18,15:37:02,25.56,26.13,25.44,NA,10,10,53,32,0.43,0.99,0.29,0.11,370,0.353846154,no motion detected,motion detected,3 persons
12/25/17,10:18:04,25.06,25.13,24.69,NA,10,10,45,32,0.08,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
1/10/18,15:48:16,25.63,26.31,25.5,25.75,9,10,52,31,0.31,0.39,0.16,0.09,380,0.503846154,motion detected,motion detected,3 persons
12/23/17,0:10:16,25.38,25.44,24.94,25.75,0,0,0,0,0.07,0.05,NA,0.06,380,0,no motion detected,no motion detected,empty room
12/22/17,11:24:55,25.31,NA,24.81,25.75,124,36,63,48,0.17,0.1,0.14,0.06,440,0.846153846,no motion detected,no motion detected,1 person
1/10/18,16:54:08,25.88,26.06,25.75,25.94,3,3,18,11,0.12,0.05,0.08,0.09,760,2.934615385,no motion detected,no motion detected,3 persons
12/22/17,11:29:31,25.38,25.44,24.88,25.75,155,234,63,49,1.77,1.08,0.2,0.08,450,0.896153846,motion detected,motion detected,2 persons
12/24/17,0:20:20,25.44,25.44,24.94,NA,0,0,0,0,0.06,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/24/17,1:23:39,25.38,25.38,24.94,25.75,0,0,0,0,0.07,0.06,0.06,0.07,365,0,no motion detected,no motion detected,empty room
12/25/17,9:39:46,25.06,25.06,24.63,25.38,8,8,40,27,0.08,NA,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:21:20,25.25,NA,24.81,25.63,124,36,61,46,0.83,0.1,0.11,NA,435,0.688461538,no motion detected,no motion detected,1 person
12/22/17,11:12:09,25.19,24.88,24.69,25.63,NA,35,59,45,0.42,0.19,0.16,0.09,420,1.215384615,no motion detected,no motion detected,1 person
12/24/17,1:27:44,25.38,25.38,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,365,0,no motion detected,no motion detected,empty room
12/26/17,0:09:49,25.44,25.38,24.94,25.88,0,0,0,0,0.08,0.06,NA,NA,NA,0,no motion detected,no motion detected,empty room
12/26/17,0:06:45,25.38,25.38,NA,25.88,0,0,0,0,0.08,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
1/11/18,0:11:11,25.25,25.31,24.88,25.31,0,0,0,0,0.07,NA,0.05,0.08,345,0,no motion detected,no motion detected,empty room
12/24/17,1:23:08,25.38,25.38,24.94,25.75,0,0,0,0,0.07,0.05,NA,0.07,365,0,no motion detected,no motion detected,empty room
12/22/17,10:54:47,25.06,24.81,24.56,25.44,122,35,57,43,2.2,0.31,0.33,0.21,390,-0.276923077,motion detected,motion detected,1 person
12/26/17,0:35:51,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,0.09,NA,0,no motion detected,no motion detected,empty room
12/24/17,0:18:17,25.44,25.44,24.94,NA,0,0,0,0,0.06,0.05,0.06,0.05,370,0,no motion detected,no motion detected,empty room
12/26/17,1:39:10,25.38,25.38,24.88,25.75,0,0,0,0,0.08,0.05,NA,0.09,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:53:06,25.81,26.06,25.75,25.94,3,3,19,12,0.09,NA,NA,NA,750,2.788461538,motion detected,motion detected,3 persons
1/10/18,16:36:15,25.81,26.06,25.75,25.81,5,4,28,16,0.14,0.56,NA,0.09,670,3.069230769,no motion detected,motion detected,3 persons
12/26/17,1:28:57,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
1/10/18,16:58:13,25.88,26.06,25.75,25.94,2,3,12,10,0.08,0.05,0.15,0.09,755,1.684615385,no motion detected,no motion detected,3 persons
1/11/18,0:36:43,25.25,25.25,24.81,25.38,0,0,0,0,0.08,NA,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/23/17,1:36:03,25.31,25.31,24.88,25.75,0,0,0,0,0.07,NA,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/23/17,0:45:30,25.38,25.38,24.94,25.75,0,0,0,0,0.08,0.05,0.06,0.06,375,0,no motion detected,no motion detected,empty room
12/25/17,9:31:06,25.06,25.06,24.56,25.38,7,8,38,25,0.08,0.05,NA,NA,NA,0,no motion detected,no motion detected,empty room
12/26/17,1:36:37,25.38,25.38,24.88,25.75,0,0,0,0,0.08,0.05,0.06,0.11,NA,0,no motion detected,no motion detected,empty room
12/23/17,1:16:39,25.38,25.38,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,0,no motion detected,no motion detected,empty room
12/22/17,11:56:34,25.56,25.75,NA,25.88,155,232,75,58,0.41,1.05,0.29,0.17,570,2.323076923,motion detected,motion detected,2 persons
1/10/18,16:32:10,25.81,26.06,25.69,25.81,5,5,21,19,0.15,0.11,NA,0.09,625,2.680769231,no motion detected,no motion detected,3 persons
12/25/17,10:31:51,25.13,25.13,24.75,25.75,10,12,50,NA,0.07,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/22/17,11:41:15,25.44,25.56,24.94,25.81,155,236,70,54,0.17,0.35,0.11,0.07,490,1.380769231,no motion detected,motion detected,2 persons
1/10/18,16:37:17,25.81,26.06,25.75,25.81,4,4,29,16,0.1,0.07,0.12,NA,675,3.403846154,no motion detected,motion detected,3 persons
12/24/17,1:34:22,25.38,25.44,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,365,0,no motion detected,no motion detected,empty room
12/25/17,10:47:41,25.13,25.13,24.81,25.75,12,14,54,37,0.08,0.05,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/24/17,1:12:55,25.38,25.44,24.94,NA,0,0,0,0,0.06,0.05,0.05,0.06,365,-0.153846154,no motion detected,no motion detected,empty room
12/24/17,1:09:51,25.38,25.44,24.88,25.75,0,0,0,0,0.07,0.06,0.06,0.06,365,-0.142307692,no motion detected,no motion detected,empty room
12/22/17,11:40:45,25.44,25.56,24.94,25.75,155,236,69,54,1.33,0.78,0.18,0.11,485,1.161538462,motion detected,motion detected,2 persons
12/23/17,0:59:17,25.31,25.38,24.94,25.81,0,0,0,0,0.07,0.05,0.06,0.06,370,-0.192307692,no motion detected,no motion detected,empty room
1/10/18,16:25:02,25.75,26.06,25.69,25.88,5,7,NA,22,3.83,0.08,NA,NA,595,3.626923077,no motion detected,no motion detected,3 persons
12/24/17,1:05:16,25.44,25.44,24.88,NA,0,0,0,0,0.07,0.05,0.05,0.06,365,-0.019230769,no motion detected,no motion detected,empty room
12/25/17,9:30:04,25.06,25.06,24.56,25.44,7,8,37,24,0.07,0.05,0.05,0.09,NA,0,no motion detected,no motion detected,empty room
1/11/18,0:05:34,25.25,25.25,24.88,25.38,0,0,0,0,0.07,0.05,0.05,0.08,345,0,no motion detected,no motion detected,empty room
1/10/18,15:27:51,25.5,25.69,25.31,25.63,10,11,57,36,NA,0.28,NA,0.09,370,0.769230769,motion detected,no motion detected,3 persons
12/26/17,0:25:38,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.06,0.06,NA,NA,0,no motion detected,no motion detected,empty room
12/26/17,0:47:36,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,NA,NA,NA,0,no motion detected,no motion detected,empty room
1/11/18,1:30:51,25.19,25.19,24.75,25.25,0,0,0,0,0.07,0.05,0.05,0.09,345,0,no motion detected,no motion detected,empty room
12/24/17,1:20:04,25.38,25.44,24.88,25.75,0,0,0,0,0.06,0.05,0.05,0.06,365,0,no motion detected,no motion detected,empty room
1/11/18,1:22:40,25.19,25.25,24.81,25.31,0,0,0,0,0.07,0.05,0.06,0.09,345,0,no motion detected,no motion detected,empty room
12/25/17,9:19:52,NA,NA,24.56,25.31,7,8,36,24,0.07,NA,0.06,NA,NA,-0.153846154,no motion detected,no motion detected,empty room
12/23/17,1:35:32,25.31,25.31,24.81,25.75,0,0,0,0,0.08,NA,0.06,0.07,370,0,no motion detected,no motion detected,empty room
